Name;Version;Club;League;Nationality;Alt Pos.;Skill Moves;Weak Foot;Foot;Att W/R;Def W/R;Age;Height;Weight;Body Type;Added;Price;Position;ID;Overall Rating;Futwiz Link;PAC;AcceleRATE;Acceleration;Sprint Speed;SHO;Positioning;Finishing;Shot Power;Long Shots;Volleys;Penalties;PAS;Vision;Crossing;FK. Acc.;Short Pass;Long Pass;Curve;DRI;Agility;Balance;Reactions;Ball Control;Dribbling;Composure;DEF;Interceptions;Heading Acc.;Def. Awareness;Stand Tackle;Slide Tackle;PHY;Jumping;Stamina;Strength;Aggression;PlayStyles+;PlayStyles;DIV;GK. Diving;REF;GK. Reflexes;HAN;GK. Handling;SPD;KIC;GK. Kicking;POS;GK. Pos
Alisson;Rare;Liverpool;Premier League;Brazil;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;85000;GK;200001;87;https://www.futwiz.com/en/fc26/player/alisson/200001;48;Controlled;50;46;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;2;4;85;2;1;87;0;2;0;3;1;0;0;4;2;2;0;;;55;85;57;87;52;82;74;42;72;54;84
Courtois;Rare;Real Madrid;LaLiga;Belgium;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;120000;GK;200002;90;https://www.futwiz.com/en/fc26/player/courtois/200002;50;Controlled;52;48;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;2;4;88;2;1;90;0;2;0;3;1;0;0;4;2;2;0;;;58;88;60;90;55;85;77;45;75;57;87
M. ter Stegen;Rare;FC Barcelona;LaLiga;Germany;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;92000;GK;200003;88;https://www.futwiz.com/en/fc26/player/m.-ter-stegen/200003;45;Controlled;47;43;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;2;4;86;2;1;88;0;2;0;3;1;0;0;4;2;2;0;;;56;86;58;88;53;83;75;43;73;55;85
Donnarumma;Rare;Paris Saint-Germain;Ligue 1;Italy;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;78000;GK;200004;87;https://www.futwiz.com/en/fc26/player/donnarumma/200004;47;Controlled;49;45;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;2;4;85;2;1;87;0;2;0;3;1;0;0;4;2;2;0;;;55;85;57;87;52;82;74;42;72;54;84
Ederson;Rare;Manchester City;Premier League;Brazil;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;82000;GK;200005;87;https://www.futwiz.com/en/fc26/player/ederson/200005;52;Controlled;54;50;0;2;0;4;0;0;0;0;2;0;0;2;0;0;0;2;4;85;2;1;87;0;2;0;3;1;0;0;4;2;2;0;;;55;85;57;87;52;82;74;42;72;54;84
Van Dijk;Rare;Liverpool;Premier League;Netherlands;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;110000;CB;200006;89;https://www.futwiz.com/en/fc26/player/van-dijk/200006;72;Controlled;74;70;55;57;53;59;52;50;53;70;72;66;64;72;68;66;68;70;72;87;70;69;89;90;92;88;93;91;89;86;90;88;88;84;;;0;0;0;0;0;0;0;0;0;0;0
Rúben Dias;Rare;Manchester City;Premier League;Portugal;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;88000;CB;200007;88;https://www.futwiz.com/en/fc26/player/rúben-dias/200007;68;Controlled;70;66;48;50;46;52;45;43;46;65;67;61;59;67;63;61;62;64;66;86;64;63;88;89;91;87;92;90;88;84;88;86;86;82;;;0;0;0;0;0;0;0;0;0;0;0
Marquinhos;Rare;Paris Saint-Germain;Ligue 1;Brazil;;4;4;Right;High;Medium;26;182 cm;76 kg;Normal;2025-09-12;76000;CB;200008;87;https://www.futwiz.com/en/fc26/player/marquinhos/200008;70;Controlled;72;68;52;54;50;56;49;47;50;68;70;64;62;70;66;64;66;68;70;85;68;67;87;88;90;86;91;89;87;82;86;84;84;80;;;0;0;0;0;0;0;0;0;0;0;0
Militão;Rare;Real Madrid;LaLiga;Brazil;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;65000;CB;200009;86;https://www.futwiz.com/en/fc26/player/militão/200009;74;Controlled;76;72;50;52;48;54;47;45;48;58;60;54;52;60;56;54;60;62;64;84;62;61;86;86;88;84;89;87;85;84;88;86;86;82;;;0;0;0;0;0;0;0;0;0;0;0
Araújo;Rare;FC Barcelona;LaLiga;Uruguay;;4;3;Right;Medium;Medium;26;182 cm;76 kg;Normal;2025-09-12;62000;CB;200010;86;https://www.futwiz.com/en/fc26/player/araújo/200010;72;Controlled;74;70;46;48;44;50;43;41;44;55;57;51;49;57;53;51;58;60;62;84;60;59;86;87;89;85;90;88;86;83;87;85;85;81;;;0;0;0;0;0;0;0;0;0;0;0
